,Index,TimeStamp(s),Description,EventCategory,InfoCategory,ImpactsResource,Component,Layer,Member,Resource
0,80715,47040.63388,TSP activated,Information,TspUsage,False,NA,NA,NA,NA
1,80719,47040.675673,TSP activated,Information,TspUsage,False,NA,NA,NA,NA
2,80802,48840.543668,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
3,80872,48840.572305,Event_Set_Freeze,Information,UIEvent,True,Im,Applications,ImageAcquisition,ImagingPipelineState
4,80925,48840.813859,Event_SetImagingPage_Measurement,Information,UIEvent,True,WorkflowArbitrations,Applications,Measurement,ActivePage
5,80959,48840.837003,Event_Set_TwoDDistance,Information,UIEvent,True,ImagingAppDisplay,Applications,TwoDDistance,MeasToolsAvailability
6,81067,48840.89334,Event_Set_CaliperPosition,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPosition,MeasToolsActiveState
7,81120,48840.922217,Event_Anchor_Caliper,Information,UIEvent,True,ImagingAppDisplay,Applications,AnchorCaliper,MeasToolsActiveState
8,81219,48840.964975,Event_Set_CaliperPosition,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPosition,MeasToolsActiveState
9,81275,48840.992958,Event_Set_NextActiveCaliper,Information,UIEvent,True,ImagingAppDisplay,Applications,NextActiveCaliper,MeasToolsActiveState
10,81406,48900.040387,Event_Set_CaliperPosition,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPosition,MeasToolsActiveState
11,81457,48900.067058,Event_End_Measurement,Information,UIEvent,True,ImagingAppDisplay,Applications,EndMeasurement,MeasToolsActiveState
12,81554,48900.191498,Event_Select_Caliper,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPositions,MeasToolsActiveState
13,81644,48900.231397,Event_End_Measurement,Information,UIEvent,True,ImagingAppDisplay,Applications,EndMeasurement,MeasToolsActiveState
14,81711,48900.31103,Event_Select_Caliper,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPositions,MeasToolsActiveState
15,81801,48900.352332,Event_End_Measurement,Information,UIEvent,True,ImagingAppDisplay,Applications,EndMeasurement,MeasToolsActiveState
16,81844,48900.4369,Event_Erase_Measurement,Information,UIEvent,True,ImagingAppDisplay,Applications,EraseMeasurement,MeasToolsActiveState
17,81878,48900.461776,Event_Set_Freeze,Information,UIEvent,True,Im,Applications,ImageAcquisition,ImagingPipelineState
18,81993,48900.73478,Event_Reset_ImagingMode,Information,UIEvent,True,Workflow,Applications,ResetImagingMode,UserWorkflowControls
19,82105,48960.020239,Event_Set_Color,Information,UIEvent,True,WorkflowImagingModes,Applications,Color,ActiveMode
20,82196,48960.305595,Event_Reset_ImagingMode,Information,UIEvent,True,Workflow,Applications,ResetImagingMode,UserWorkflowControls
21,82298,48960.588531,Event_Set_DualAcquisitionMode,Information,UIEvent,True,WorkflowImagingControls,Applications,DualAcquisitionMode,MultiPartAcquisition
22,82353,48960.617151,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
23,82397,48960.634442,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
24,82410,48960.845308,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
25,82423,49020.096492,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
26,82436,49020.395912,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
27,82449,49020.755667,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
28,82505,49020.771764,Event_Set_Freeze,Information,UIEvent,True,Im,Applications,ImageAcquisition,ImagingPipelineState
29,82621,49080.016114,Event_Step_ActiveMultiPart,Information,UIEvent,True,WorkflowImagingControls,Applications,ActivePart,MultiPartAcquisition
30,82735,49080.32266,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
31,82779,49080.396425,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
32,82792,49080.606917,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
33,82805,49080.857959,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
34,82818,49140.157654,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
35,82874,49140.174127,Event_Set_Freeze,Information,UIEvent,True,Im,Applications,ImageAcquisition,ImagingPipelineState
36,82971,49140.414986,Event_Set_TwoDDistance,Information,UIEvent,True,ImagingAppDisplay,Applications,TwoDDistance,MeasToolsAvailability
37,82999,49140.454049,Event_Anchor_Caliper,Information,UIEvent,True,ImagingAppDisplay,Applications,AnchorCaliper,MeasToolsActiveState
38,83018,49140.476434,Event_End_Measurement,Information,UIEvent,True,ImagingAppDisplay,Applications,EndMeasurement,MeasToolsActiveState
39,83082,49140.588087,Event_Select_Caliper,Information,UIEvent,True,ImagingAppDisplay,Applications,CaliperPositions,MeasToolsActiveState
40,83126,49140.61689,Event_Step_CinePosition1,Information,UIEvent,True,ImagingAppDisplay,Applications,SamplePosition,PlayMode
41,83200,49140.859736,Event_Step_CinePosition1,Information,UIEvent,True,ImagingAppDisplay,Applications,SamplePosition,PlayMode
42,83254,49200.093109,Event_Set_DualAcquisitionMode,Information,UIEvent,True,WorkflowImagingControls,Applications,DualAcquisitionMode,MultiPartAcquisition
43,83296,49200.232215,Event_Reset_ImagingMode,Information,UIEvent,True,Workflow,Applications,ResetImagingMode,UserWorkflowControls
44,83398,49200.514111,Event_Set_DualAcquisitionMode,Information,UIEvent,True,WorkflowImagingControls,Applications,DualAcquisitionMode,MultiPartAcquisition
45,83453,49200.544646,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
46,83497,49200.561926,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
47,83510,49200.775572,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
48,83523,49260.027487,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
49,83536,49260.331481,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
50,83592,49260.350699,Event_Set_Freeze,Information,UIEvent,True,Im,Applications,ImageAcquisition,ImagingPipelineState
51,83708,49260.591301,Event_Step_ActiveMultiPart,Information,UIEvent,True,WorkflowImagingControls,Applications,ActivePart,MultiPartAcquisition
52,83822,49260.897747,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
53,83866,49260.913897,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
54,83879,49320.122462,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
55,83892,49320.373462,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
56,83905,49320.677587,Event_Publish_PlayMode,Information,UIEvent,False,NA,NA,NA,NA
